Image,I1,I2,I3,I4,I5,I6,Class
nd106 cloz04.tif,0.622237963,1.881278429,2.807841579,3.479995598,6.815311769,4.50253971,Corante
nd106 cloz04.tif,0.719723291,2.535277433,3.726228004,4.762944462,9.451998423,6.527019236,Corante
nd106 cloz04.tif,0.524944727,1.391052721,2.914302019,3.76979383,7.562132041,5.253969737,Corante
nd106 cloz04.tif,0.6011504,1.578415988,2.681147209,3.761806005,7.365567096,5.432929257,Corante
nd106 cloz04.tif,0.674171971,2.094942798,3.073892276,4.251622552,7.950920078,5.553448422,Corante
nd106 cloz04.tif,0.648460194,1.991538259,2.472681935,3.878470696,7.124093757,5.576515723,Corante
nd106 cloz04.tif,0.608132074,1.747454642,3.119738875,4.535999937,8.399093439,5.821205333,Corante
nd106 cloz04.tif,0.673095959,2.114364517,2.991039863,4.022108535,7.577663166,5.084515994,Corante
nd106 cloz04.tif,0.703934584,2.245788427,4.185404445,4.66353868,9.090757071,5.811738556,Corante
nd106 cloz04.tif,0.750514102,2.589928936,3.392110013,4.899961616,9.064087101,6.295249686,Corante
nd106 cloz04.tif,0.659276438,1.911310477,4.293754585,4.388456493,8.735512929,5.591413044,Corante
nd106 cloz04.tif,0.692911677,2.161052316,2.983880024,3.309763119,6.460125536,4.390483465,Corante
nd106 cloz04.tif,0.694417005,2.804909963,2.920135636,3.286369255,6.432192413,4.708735783,Corante
nd106 cloz04.tif,0.565523322,1.621869438,2.162372429,2.6122101,5.02031914,3.423241109,Corante
nd106 cloz04.tif,0.675140104,1.956800376,3.514045775,4.578597445,8.642844614,5.625386295,Corante
nd106 cloz04.tif,0.748736158,2.644313359,3.726874366,5.032313776,9.412164398,6.39256526,Corante
nd106 cloz04.tif,0.568872246,1.548029933,3.028056479,3.984233557,7.640609247,6.171477912,Corante
nd106 cloz04.tif,0.439664466,1.231763165,1.44041189,1.48190199,2.9430669,2.139829132,Corante
nd106 cloz04.tif,0.646549229,1.952577595,3.287134773,3.48068327,7.007541599,5.269841603,Corante
nd106 cloz04.tif,0.536875947,1.80381999,1.994110603,3.276436108,6.302722487,4.703485991,Corante
nd106 cloz04.tif,0.744185446,2.499037674,3.39454118,4.692647532,8.775272829,5.978895494,Corante
nd106 cloz04.tif,0.604090545,1.615614343,2.860531933,4.00060619,7.725725218,4.988781756,Corante
nd106 cloz04.tif,0.726574811,2.544836863,3.610138148,4.39744555,8.456079313,6.974642143,Corante
nd106 cloz04.tif,0.599363004,1.622467248,2.722701046,3.473809366,6.67409783,4.855595596,Corante
nd106 cloz04.tif,0.699503649,2.424753941,3.795854821,4.227536958,8.476952448,5.655421021,Corante
nd106 cloz04.tif,0.345602329,1.201743297,1.463785984,2.059700822,4.056767682,3.848521984,Corante
nd106 cloz04.tif,0.590431549,1.624284882,3.121506997,3.71618933,7.290895876,4.754002448,Corante
nd106 cloz04.tif,0.230441577,0.824775577,0.532193296,1.015915385,1.93578314,1.664914599,Corante
nd106 cloz04.tif,0.491516759,1.336015068,1.800110737,2.064070539,3.999217291,2.739710721,Corante
nd106 cloz04.tif,0.685139601,2.078539869,3.11254179,4.834641911,8.814567663,5.874642336,Corante
nd106 cloz04.tif,0.591015562,1.873144725,2.073463075,2.594488903,4.949789944,3.542922467,Corante
nd106 cloz04.tif,0.163738627,0.555182833,1.341846888,1.379345294,2.740611996,1.671252221,Corante
nd106 cloz04.tif,0.727165989,2.50788769,3.056115162,4.755398467,8.691972844,6.648211888,Corante
nd106 cloz04.tif,0.705771105,2.264452009,3.243096799,3.453872391,6.865587214,4.65401421,Corante
nd106 cloz04.tif,0.451234244,1.293809703,2.240684839,2.862872499,5.42626271,4.081713167,Corante
nd106 cloz04.tif,0.397530386,1.282386029,2.676320164,2.148537097,4.564805425,2.849774585,Corante
nd106 cloz04.tif,0.577193217,2.153682125,2.239209903,2.668166559,5.437974327,3.753682902,Corante
nd106 cloz04.tif,0.36004441,1.394441027,1.521062921,1.999181333,4.149443599,2.727494483,Corante
nd106 cloz04.tif,0.187791796,0.57236537,1.440057148,1.708564836,3.287568366,2.040420263,Corante
nd106 cloz04.tif,0.29377089,1.169444683,1.407560637,2.56714258,5.824812864,3.660206003,Corante
nd106 cloz04.tif,0.702134276,2.790985883,2.527788664,5.771771733,10.77207152,7.207956081,Corante
nd106 cloz04.tif,0.591634829,1.782763313,2.924174444,3.468032533,7.450166435,5.749408996,Corante
nd106 cloz04.tif,0.503519641,1.203376942,2.687056958,3.001134323,5.861700349,3.656542242,Corante
